time,Тсред,Тмин,Тмакс,Осадки всего,Направление ветра,Скорость ветра,Давление на уровне моря,file_path
2021-04-01,-5.4,-9.1,-1.6,0.0,208.0,19.7,1027.6,data/train/08/2021-06-08_weather.csv
2021-04-02,-1.0,-4.0,1.4,1.1,220.0,21.8,1021.8,data/train/08/2021-06-08_weather.csv
2021-04-03,0.5,-2.4,3.6,0.0,225.0,16.3,1023.5,data/train/08/2021-06-08_weather.csv
2021-04-04,-0.3,-4.0,3.8,0.0,154.0,17.4,1019.0,data/train/08/2021-06-08_weather.csv
2021-04-05,2.4,0.3,4.5,0.0,159.0,20.7,1007.8,data/train/08/2021-06-08_weather.csv
2021-04-06,1.8,-0.8,4.2,0.0,234.0,20.3,1015.8,data/train/08/2021-06-08_weather.csv
2021-04-07,0.3,-2.5,4.3,0.0,245.0,13.2,1024.3,data/train/08/2021-06-08_weather.csv
2021-04-08,0.9,-4.5,5.4,0.7,137.0,12.1,1026.2,data/train/08/2021-06-08_weather.csv
2021-04-09,2.2,0.2,3.6,4.8,114.0,22.5,1026.0,data/train/08/2021-06-08_weather.csv
2021-04-10,2.0,-4.7,7.5,0.2,80.0,10.8,1036.0,data/train/08/2021-06-08_weather.csv
2021-04-11,-0.3,-8.1,7.1,0.0,104.0,7.2,1040.9,data/train/08/2021-06-08_weather.csv
2021-04-12,4.6,-2.5,13.9,0.2,251.0,12.3,1033.1,data/train/08/2021-06-08_weather.csv
2021-04-13,4.8,-0.2,11.0,0.0,321.0,13.1,1035.8,data/train/08/2021-06-08_weather.csv
2021-04-14,7.9,0.8,16.1,0.0,259.0,18.5,1030.4,data/train/08/2021-06-08_weather.csv
2021-04-15,9.7,1.5,19.2,0.0,261.0,12.8,1022.9,data/train/08/2021-06-08_weather.csv
2021-04-16,8.7,-0.1,16.0,0.0,293.0,18.0,1017.0,data/train/08/2021-06-08_weather.csv
2021-04-17,1.7,-3.5,7.4,0.0,327.0,9.3,1023.9,data/train/08/2021-06-08_weather.csv
2021-04-18,4.2,-4.7,11.4,0.3,256.0,20.9,1011.8,data/train/08/2021-06-08_weather.csv
2021-04-19,-5.0,-9.1,-1.0,0.0,343.0,18.6,1026.0,data/train/08/2021-06-08_weather.csv
2021-04-20,-3.3,-8.5,2.1,0.0,312.0,10.8,1029.4,data/train/08/2021-06-08_weather.csv
2021-04-21,1.6,-1.4,4.9,0.0,338.0,20.8,1025.1,data/train/08/2021-06-08_weather.csv
2021-04-22,0.5,-5.0,6.8,0.0,51.0,10.2,1041.3,data/train/08/2021-06-08_weather.csv
2021-04-23,2.4,-4.8,8.7,0.0,153.0,8.3,1043.9,data/train/08/2021-06-08_weather.csv
2021-04-24,4.0,-4.1,11.2,0.0,167.0,9.2,1036.0,data/train/08/2021-06-08_weather.csv
2021-04-25,6.7,-0.4,13.3,0.0,142.0,15.9,1026.3,data/train/08/2021-06-08_weather.csv
2021-04-26,9.9,5.2,14.9,0.3,206.0,16.4,1017.6,data/train/08/2021-06-08_weather.csv
2021-04-27,8.3,2.3,13.7,5.2,213.0,11.5,1015.6,data/train/08/2021-06-08_weather.csv
2021-04-28,10.6,7.6,15.0,1.5,332.0,11.6,1008.2,data/train/08/2021-06-08_weather.csv
2021-04-29,11.1,6.4,17.5,0.0,233.0,14.5,1009.3,data/train/08/2021-06-08_weather.csv
2021-04-30,8.9,2.8,13.9,0.1,270.0,16.1,1013.5,data/train/08/2021-06-08_weather.csv
2021-05-01,6.9,3.8,10.0,0.3,295.0,23.4,1020.7,data/train/08/2021-06-08_weather.csv
2021-05-02,10.5,-0.1,18.7,0.0,209.0,19.5,1025.4,data/train/08/2021-06-08_weather.csv
2021-05-03,11.0,6.4,15.1,4.9,239.0,18.8,1018.0,data/train/08/2021-06-08_weather.csv
2021-05-04,9.4,0.6,16.0,0.0,250.0,10.8,1023.1,data/train/08/2021-06-08_weather.csv
2021-05-05,13.3,7.4,19.7,0.0,176.0,17.3,1014.3,data/train/08/2021-06-08_weather.csv
2021-05-06,16.0,8.9,25.5,0.0,213.0,17.4,1003.4,data/train/08/2021-06-08_weather.csv
2021-05-07,12.1,6.1,17.6,0.0,290.0,16.5,1015.2,data/train/08/2021-06-08_weather.csv
2021-05-08,15.0,4.7,23.0,0.0,282.0,8.9,1019.1,data/train/08/2021-06-08_weather.csv
2021-05-09,15.1,8.0,21.7,0.0,70.0,18.7,1016.7,data/train/08/2021-06-08_weather.csv
2021-05-10,12.7,8.0,17.9,0.0,66.0,22.4,1020.8,data/train/08/2021-06-08_weather.csv
2021-05-11,12.9,6.0,18.8,0.0,16.0,15.4,1022.7,data/train/08/2021-06-08_weather.csv
2021-05-12,15.1,5.5,24.1,0.0,309.0,16.1,1020.0,data/train/08/2021-06-08_weather.csv
2021-05-13,12.3,6.9,16.4,0.0,338.0,15.3,1020.1,data/train/08/2021-06-08_weather.csv
2021-05-14,14.0,6.4,21.6,0.0,338.0,9.7,1024.1,data/train/08/2021-06-08_weather.csv
2021-05-15,20.6,11.4,30.0,0.0,251.0,14.5,1020.0,data/train/08/2021-06-08_weather.csv
2021-05-16,22.3,15.0,30.2,0.2,282.0,16.5,1014.0,data/train/08/2021-06-08_weather.csv
2021-05-17,22.4,11.6,31.7,0.0,287.0,12.1,1014.4,data/train/08/2021-06-08_weather.csv
2021-05-18,21.6,15.2,28.0,0.5,303.0,15.0,1008.6,data/train/08/2021-06-08_weather.csv
2021-05-19,14.5,8.9,17.6,0.0,14.0,20.0,1014.0,data/train/08/2021-06-08_weather.csv
2021-05-20,11.1,7.0,14.8,0.1,356.0,13.4,1020.8,data/train/08/2021-06-08_weather.csv
2021-05-21,14.5,7.6,23.6,6.4,181.0,11.1,1017.5,data/train/08/2021-06-08_weather.csv
2021-05-22,20.9,10.7,29.3,0.0,248.0,11.8,1018.9,data/train/08/2021-06-08_weather.csv
2021-05-23,24.3,15.8,31.6,0.0,259.0,12.5,1017.2,data/train/08/2021-06-08_weather.csv
2021-05-24,21.9,16.8,28.6,0.8,329.0,10.9,1017.8,data/train/08/2021-06-08_weather.csv
2021-05-25,26.5,16.8,34.8,0.0,233.0,15.0,1012.8,data/train/08/2021-06-08_weather.csv
2021-05-26,26.3,17.7,34.4,0.0,200.0,11.8,1006.8,data/train/08/2021-06-08_weather.csv
2021-05-27,17.3,11.2,23.9,0.1,315.0,24.4,1009.2,data/train/08/2021-06-08_weather.csv
2021-05-28,12.7,8.3,16.5,0.0,315.0,11.5,1021.2,data/train/08/2021-06-08_weather.csv
2021-05-29,17.4,8.6,25.3,0.0,194.0,10.1,1019.6,data/train/08/2021-06-08_weather.csv
2021-05-30,22.0,14.3,28.5,0.0,178.0,16.7,1015.4,data/train/08/2021-06-08_weather.csv
2021-05-31,24.0,19.4,31.1,0.0,157.0,20.1,1006.6,data/train/08/2021-06-08_weather.csv
2021-06-01,19.6,15.8,23.3,0.3,337.0,14.9,1007.0,data/train/08/2021-06-08_weather.csv
2020-02-17,-7.7,-12.5,-5.0,2.8,304.0,11.1,1023.6,data/train/16/2020-05-09_weather.csv
2020-02-18,-6.4,-9.9,-4.0,1.5,245.0,20.7,1022.3,data/train/16/2020-05-09_weather.csv
2020-02-19,-0.6,-7.0,0.8,0.5,240.0,16.2,1014.3,data/train/16/2020-05-09_weather.csv
2020-02-20,-3.3,-3.0,-1.5,0.3,242.0,19.8,1018.3,data/train/16/2020-05-09_weather.csv
2020-02-21,-5.6,-5.0,-3.2,0.3,245.0,8.9,1018.4,data/train/16/2020-05-09_weather.csv
2020-02-22,-3.7,-12.2,-0.4,0.0,289.0,6.5,1021.6,data/train/16/2020-05-09_weather.csv
2020-02-23,-4.8,-6.7,-2.8,0.5,347.0,7.8,1027.7,data/train/16/2020-05-09_weather.csv
2020-02-24,-9.5,-12.7,-5.4,0.5,102.0,10.5,1026.6,data/train/16/2020-05-09_weather.csv
2020-02-25,-8.3,-14.2,-6.2,,155.0,16.7,1024.5,data/train/16/2020-05-09_weather.csv
2020-02-26,-5.6,-9.4,-4.0,2.3,122.0,27.6,1014.1,data/train/16/2020-05-09_weather.csv
2020-02-27,-1.1,-4.4,1.1,9.9,202.0,15.8,997.9,data/train/16/2020-05-09_weather.csv
2020-02-28,0.4,-5.2,2.1,0.5,245.0,14.6,1019.6,data/train/16/2020-05-09_weather.csv
2020-02-29,-0.1,0.0,2.2,0.0,225.0,15.2,1025.5,data/train/16/2020-05-09_weather.csv
2020-03-01,-1.8,-2.0,0.6,0.0,167.0,15.8,1020.7,data/train/16/2020-05-09_weather.csv
2020-03-02,-5.6,-8.5,0.2,0.0,3.0,12.9,1014.2,data/train/16/2020-05-09_weather.csv
2020-03-03,-5.7,-13.3,-1.9,0.0,239.0,10.7,1021.0,data/train/16/2020-05-09_weather.csv
2020-03-04,-2.2,-4.0,-0.2,0.0,250.0,14.7,1017.2,data/train/16/2020-05-09_weather.csv
2020-03-05,-8.3,-11.0,-3.3,0.3,287.0,15.9,1016.0,data/train/16/2020-05-09_weather.csv
2020-03-06,-14.4,-13.0,-9.9,0.0,321.0,19.1,1030.0,data/train/16/2020-05-09_weather.csv
2020-03-07,-10.4,-20.8,-5.9,0.0,239.0,17.6,1035.1,data/train/16/2020-05-09_weather.csv
2020-03-08,-4.8,-7.6,-2.0,0.0,238.0,18.9,1027.4,data/train/16/2020-05-09_weather.csv
2020-03-09,-2.4,-4.1,-1.5,0.0,244.0,20.3,1019.8,data/train/16/2020-05-09_weather.csv
2020-03-10,-5.4,-11.0,-2.0,0.3,228.0,9.3,1027.3,data/train/16/2020-05-09_weather.csv
2020-03-11,-5.8,-10.6,1.0,,192.0,8.8,1026.3,data/train/16/2020-05-09_weather.csv
2020-03-12,-2.2,-6.6,3.6,0.0,229.0,14.1,1024.5,data/train/16/2020-05-09_weather.csv
2020-03-13,-4.2,-9.2,4.7,0.0,190.0,8.9,1019.5,data/train/16/2020-05-09_weather.csv
2020-03-14,0.0,-7.8,2.9,0.3,203.0,12.9,1006.6,data/train/16/2020-05-09_weather.csv
2020-03-15,2.1,0.6,3.1,0.0,196.0,17.4,1008.8,data/train/16/2020-05-09_weather.csv
2020-03-16,0.5,-1.0,4.3,0.0,259.0,20.6,1015.0,data/train/16/2020-05-09_weather.csv
2020-03-17,-0.2,-2.8,1.6,0.0,147.0,18.5,1015.0,data/train/16/2020-05-09_weather.csv
2020-03-18,-1.1,-3.2,1.6,0.0,257.0,20.1,1017.8,data/train/16/2020-05-09_weather.csv
2020-03-19,0.6,-2.9,2.8,0.0,233.0,16.4,1015.6,data/train/16/2020-05-09_weather.csv
2020-03-20,2.0,-1.5,5.1,0.0,234.0,23.1,1006.4,data/train/16/2020-05-09_weather.csv
2020-03-21,2.0,0.6,4.0,2.3,189.0,15.9,998.6,data/train/16/2020-05-09_weather.csv
2020-03-22,-3.5,-6.0,2.3,0.5,271.0,24.9,1007.5,data/train/16/2020-05-09_weather.csv
2020-03-23,-4.4,-7.6,-1.3,0.0,334.0,5.9,1032.6,data/train/16/2020-05-09_weather.csv
2020-03-24,-4.6,-8.2,-0.7,0.0,287.0,7.8,1040.6,data/train/16/2020-05-09_weather.csv
2020-03-25,-4.0,-8.5,0.4,0.0,247.0,14.6,1041.0,data/train/16/2020-05-09_weather.csv
2020-03-26,0.1,-7.0,3.6,,223.0,19.2,1030.4,data/train/16/2020-05-09_weather.csv
2020-03-27,0.2,-2.0,4.0,0.8,256.0,16.7,1015.4,data/train/16/2020-05-09_weather.csv
2020-03-28,-0.3,-4.3,4.0,0.0,291.0,13.2,1020.1,data/train/16/2020-05-09_weather.csv
2020-03-29,1.9,-4.9,8.3,0.0,229.0,12.3,1023.0,data/train/16/2020-05-09_weather.csv
2020-03-30,3.4,-1.1,10.0,0.0,219.0,15.3,1023.0,data/train/16/2020-05-09_weather.csv
2020-03-31,2.9,-4.2,10.0,0.0,200.0,9.5,1021.8,data/train/16/2020-05-09_weather.csv
2020-04-01,4.8,-1.1,9.2,0.0,158.0,14.0,1013.9,data/train/16/2020-05-09_weather.csv
2020-04-02,7.5,3.0,15.8,0.0,199.0,20.9,1004.7,data/train/16/2020-05-09_weather.csv
2020-04-03,3.2,-1.8,8.7,0.0,249.0,13.7,1022.4,data/train/16/2020-05-09_weather.csv
2020-04-04,5.8,-1.3,12.0,0.0,117.0,13.8,1029.9,data/train/16/2020-05-09_weather.csv
2020-04-05,7.6,1.9,14.6,0.0,134.0,23.7,1016.9,data/train/16/2020-05-09_weather.csv
2020-04-06,7.8,2.6,13.4,0.0,232.0,15.3,1011.7,data/train/16/2020-05-09_weather.csv
2020-04-07,5.5,2.0,14.0,0.3,163.0,26.7,1001.1,data/train/16/2020-05-09_weather.csv
2020-04-08,0.0,-1.0,4.4,0.0,233.0,43.4,1005.6,data/train/16/2020-05-09_weather.csv
2020-04-09,1.4,-5.1,5.1,0.0,225.0,23.9,1020.7,data/train/16/2020-05-09_weather.csv
2020-04-10,2.7,-4.0,8.0,0.5,180.0,11.3,1025.5,data/train/16/2020-05-09_weather.csv
2020-04-11,7.7,-1.0,17.0,0.0,200.0,7.4,1024.1,data/train/16/2020-05-09_weather.csv
2020-04-12,8.9,-0.1,16.0,,119.0,14.7,1019.1,data/train/16/2020-05-09_weather.csv
2020-04-13,10.6,5.7,18.0,,167.0,16.7,1011.4,data/train/16/2020-05-09_weather.csv
2020-04-14,8.0,3.0,16.2,,205.0,11.3,1015.0,data/train/16/2020-05-09_weather.csv
2020-04-15,3.8,0.0,8.0,2.5,214.0,13.4,1016.9,data/train/16/2020-05-09_weather.csv
2020-04-16,7.9,-2.0,18.0,,226.0,10.4,1020.2,data/train/16/2020-05-09_weather.csv
2020-04-17,13.1,3.0,21.0,,183.0,14.7,1018.6,data/train/16/2020-05-09_weather.csv
2020-04-18,15.9,8.0,23.0,,180.0,20.9,1015.7,data/train/16/2020-05-09_weather.csv
2021-03-22,-2.3,-5.0,1.1,1.2,226.0,7.7,1010.6,data/train/02/2021-06-03_weather.csv
2021-03-23,-4.5,-9.5,0.6,0.5,237.0,5.7,1013.6,data/train/02/2021-06-03_weather.csv
2021-03-24,-4.9,-17.4,0.1,0.0,250.0,10.3,1011.4,data/train/02/2021-06-03_weather.csv
2021-03-25,-4.3,-4.8,1.7,1.0,230.0,12.4,1009.0,data/train/02/2021-06-03_weather.csv
2021-03-26,-1.3,-13.9,5.1,0.0,222.0,11.0,1009.9,data/train/02/2021-06-03_weather.csv
2021-03-27,-1.0,-7.6,2.8,0.0,193.0,9.6,1008.2,data/train/02/2021-06-03_weather.csv
2021-03-28,-0.1,-1.9,4.0,8.9,121.0,3.5,1003.1,data/train/02/2021-06-03_weather.csv
2021-03-29,-4.3,-6.4,-1.9,9.9,358.0,18.1,1007.4,data/train/02/2021-06-03_weather.csv
2021-03-30,-5.6,-11.0,-1.3,0.0,307.0,12.2,1025.7,data/train/02/2021-06-03_weather.csv
2021-03-31,-2.5,-7.8,3.4,0.0,227.0,11.0,1026.3,data/train/02/2021-06-03_weather.csv
2021-04-01,-1.9,-12.0,3.3,0.0,197.0,17.0,1022.6,data/train/02/2021-06-03_weather.csv
2021-04-02,1.4,-2.0,2.6,3.0,216.0,18.7,1016.2,data/train/02/2021-06-03_weather.csv
2021-04-03,2.8,-1.2,7.3,0.0,217.0,13.9,1019.2,data/train/02/2021-06-03_weather.csv
2021-04-04,2.6,-4.1,6.8,0.0,167.0,14.1,1017.6,data/train/02/2021-06-03_weather.csv
2021-04-05,3.8,1.4,6.8,0.0,157.0,15.5,1007.0,data/train/02/2021-06-03_weather.csv
2021-04-06,2.8,1.1,5.3,0.3,230.0,20.0,1010.2,data/train/02/2021-06-03_weather.csv
2021-04-07,3.3,-1.5,8.4,0.0,255.0,14.4,1020.7,data/train/02/2021-06-03_weather.csv
2021-04-08,4.5,-5.7,10.6,0.0,107.0,7.0,1026.2,data/train/02/2021-06-03_weather.csv
2021-04-09,3.8,-0.5,7.3,0.0,106.0,15.5,1028.6,data/train/02/2021-06-03_weather.csv
2021-04-10,2.8,-2.8,10.4,0.0,137.0,8.3,1037.8,data/train/02/2021-06-03_weather.csv
2021-04-11,4.2,-5.1,9.7,0.0,201.0,8.8,1040.2,data/train/02/2021-06-03_weather.csv
2021-04-12,3.2,-1.0,7.4,0.3,245.0,11.0,1030.9,data/train/02/2021-06-03_weather.csv
2021-04-13,5.6,-4.6,11.4,0.0,293.0,10.5,1034.6,data/train/02/2021-06-03_weather.csv
2021-04-14,8.7,-0.8,15.3,0.0,265.0,12.0,1026.7,data/train/02/2021-06-03_weather.csv
2021-04-15,11.9,0.3,19.9,0.0,225.0,10.7,1020.1,data/train/02/2021-06-03_weather.csv
2021-04-16,4.4,-0.8,11.1,0.0,319.0,15.3,1016.8,data/train/02/2021-06-03_weather.csv
2021-04-17,2.1,-6.2,6.4,0.0,255.0,10.7,1023.5,data/train/02/2021-06-03_weather.csv
